//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle      NonCustomAttack   Comment
31        *       12          100              100            1000              500000            0                1              0                 0            "Land of Trials"
32        *       10          100              100            1000              0                 0                1              0                 1            "Devil Square 2"
33        *       12          100              100            1000              0                 0                1              0                 0            "Aida"
34        *       12          100              100            1000              0                 0                1              0                 0            "Crywolf"
36        *       12          100              100            1000              0                 0                1              0                 0            "Kalima 7"
37        *       12          100              100            1000              0                 0                1              0                 0            "Kanturu 1"
38        *       12          100              100            1000              0                 0                1              0                 0            "Kanturu 2"
39        *       12          100              100            1000              0                 0                1              0                 0            "Kanturu 3"
40        *       12          100              100            1000              0                 0                1              0                 1            "Silent"
41        *       12          100              100            1000              0                 0                1              0                 0            "Barracks"
42        *       12          100              100            1000              0                 0                1              0                 0            "Refuge"
45        *       12          100              100            1000              0                 0                1              0                 1            "Illusion Temple 1"
46        *       12          100              100            1000              0                 0                1              0                 1            "Illusion Temple 2"
47        *       12          100              100            1000              0                 0                1              0                 1            "Illusion Temple 3"
48        *       12          100              100            1000              0                 0                1              0                 1            "Illusion Temple 4"
49        *       12          100              100            1000              0                 0                1              0                 1            "Illusion Temple 5"
50        *       12          100              100            1000              0                 0                1              0                 1            "Illusion Temple 6"
51        *       12          100              100            1000              0                 0                1              0                 0            "Elbeland"
52        *       10          100              100            1000              0                 0                1              0                 1            "Blood Castle 8"
53        *       10          100              100            1000              0                 0                0              0                 1            "Chaos Castle 7"
56        *       12          100              100            1000              0                 0                1              0                 0            "Swamp of Calmness"
57        *       12          100              100            1000              0                 1                1              0                 0            "Raklion 1"
58        *       12          100              100            1000              0                 1                1              0                 0            "Raklion 2"
62        *       12          100              100            1000              0                 0                1              0                 0            "Santa Town"
63        *       12          100              100            1000              0                 0                1              0                 0            "Vulcanus"
64        *       12          100              100            1000              0                 0                0              0                 1            "Duel Arena"
65        *       12          100              100            1000              0                 0                1              0                 1            "Double Goer 1"
66        *       12          100              100            1000              0                 0                1              0                 1            "Double Goer 2"
67        *       12          100              100            1000              0                 0                1              0                 1            "Double Goer 3"
68        *       12          100              100            1000              0                 0                1              0                 1            "Double Goer 4"
69        *       12          100              100            1000              0                 0                1              0                 1            "Imperial Guardian 1"
70        *       12          100              100            1000              0                 0                1              0                 1            "Imperial Guardian 2"
71        *       12          100              100            1000              0                 0                1              0                 1            "Imperial Guardian 3"
72        *       12          100              100            1000              0                 0                1              0                 1            "Imperial Guardian 4"
79        *       12          100              100            1000              0                 0                1              0                 0            "Loren Market"
80        *       12          100              100            1000              0                 0                1              0                 0            "Karutan 1"
81        *       12          100              100            1000              0                 0                1              0                 0            "Karutan 2"
82        *       12          100              100            1000              0                 0                1              0                 0            "Arkania"
83        *       12          100              100            1000              0                 0                1              0                 0            "New Arena"
84        *       12          100              100            1000              0                 0                1              0                 0            "Abuss"
85        *       12          100              100            1000              0                 0                1              0                 0            "Dunes"
86        *       12          100              100            1000              0                 0                1              0                 0            "Acheron"
87        *       12          100              100            1000              0                 0                1              0                 0            "Kalimdor"
88        *       12          100              100            1000              0                 0                1              0                 0            "New Map 1"
89        *       12          100              100            1000              0                 0                1              0                 0            "New Map 2"
90        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
91        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
92        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
93        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
94        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
95        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
96        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
97        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
98        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
99        *       12          100              100            1000              0                 0                1              0                 0            "New Map 3"
end
